local_level_id,local_level_name,district_id
65,Myanglung Municipality,8
66,Laligurans Municipality,8
67,Chhathar Rural Municipality,8
68,Yangbarak Rural Municipality,9
69,Hilihan Rural Municipality,9
70,Falelung Rural Municipality,9
71,Phidim Municipality,9
72,Falgunanda Rural Municipality,9
73,Kummayak Rural Municipality,9
74,Tumbewa Rural Municipality,9
75,Miklajung Rural Municipality,9
76,Mai Jogmai Rural Municipality,10
77,Sandakpur Rural Municipality,10
78,Ilam Municipality,10
79,Deumai Municipality,10
80,Fakfokathum Rural Municipality,10
81,Mangsebung Rural Municipality,10
82,Chulachuli Rural Municipality,10
83,Mai Municipality,10
84,Suryodaya Municipality,10
85,Rong Rural Municipality,10
86,Mechinagar Municipality,11
87,Buddhashanti Rural Municipality,11
88,Arjundhara Municipality,11
89,Kankai Municipality,11
90,Shivasatakshi Municipality,11
91,Kamal Rural Municipality,11
92,Damak Municipality,11
93,Gauradaha Municipality,11
94,Gauriganj Rural Municipality,11
95,Jhapa Rural Municipality,11
96,Barhadashi Rural Municipality,11
97,Birtamod Municipality,11
98,Haldibari Rural Municipality,11
99,Bhadrapur Municipality,11
100,Kachanakawal Rural Municipality,11
101,Miklajung Rural Municipality,12
102,Letang Municipality,12
103,Kerabari Rural Municipality,12
104,Sundarharaicha Municipality,12
105,Belbari Municipality,12
106,Kanepokhari Rural Municipality,12
107,Pathari Shanishchare Municipality,12
108,Urlabari Municipality,12
109,Ratuwamai Municipality,12
110,Sunwarshi Municipality,12
111,Rangeli Municipality,12
112,Gramthan Rural Municipality,12
113,Budhiganga Rural Municipality,12
114,Biratnagar Metropolitan City,12
115,Katahari Rural Municipality,12
116,Dhanapalthan Rural Municipality,12
117,Jahada Rural Municipality,12
118,Dharan Sub-Metropolitan City,13
119,Baraha Municipality,13
120,Koshi Rural Municipality,13
121,Bhokraha Rural Municipality,13
122,Ramdhuni Municipality,13
123,Itahari Sub-Metropolitan City,13
124,Duhabi Municipality,13
125,Gadhi Rural Municipality,13
126,Inaruwa Municipality,13
127,Harinagara Rural Municipality,13
128,Dewangunj Rural Municipality,13
129,Barju Rural Municipality,13
130,Belaka Municipality,14
131,Chaudandigadhi Municipality,14
132,Triyuga Municipality,14
133,Rautamai Rural Municipality,14
134,Sunkoshi Rural Municipality,14
135,Tapli Rural Municipality,14
136,Katari Municipality,14
137,Udayapurgadhi Rural Municipality,14
138,Saptakoshi Municipality,15
139,Kanchanrup Municipality,15
140,Agnisair Krishna Sabaran Rural Municipality,15
141,Rupani Rural Municipality,15
142,Shambhunath Municipality,15
143,Khadak Municipality,15
144,Surunga Municipality,15
145,Balan-Bihul Rural Municipality,15
146,BodeBarsain Municipality,15
147,Dakneshwori Municipality,15
148,Belhi Chapena Rural Municipality,15
149,Bishnupur Rural Municipality,15
150,Rajbiraj Municipality,15
151,Mahadewa Rural Municipality,15
152,Tirahut Rural Municipality,15
153,Hanumannagar Kankalini Municipality,15
154,Tilathi Koiladi Rural Municipality,15
155,Chhinnamasta Rural Municipality,15
156,Lahan Municipality,16
157,Dhangadhimai Municipality,16
158,Golbazar Municipality,16
159,Mirchaiya Municipality,16
160,Karjanha Municipality,16
161,Kalyanpur Municipality,16
162,Naraha Rural Municipality,16
163,Bishnupur Rural Municipality,16
164,Arnama Rural Municipality,16
165,Sukhipur Municipality,16
166,Laxmipur Patari Rural Municipality,16
167,Sakhuwa Nankarkatti Rural Municipality,16
168,Bhagawanpur Rural Municipality,16
169,Nawarajpur Rural Municipality,16
170,Bariyarpatti Rural Municipality,16
171,Aurahi Rural Municipality,16
172,Siraha Municipality,16
173,DHANUSA,17
174,Ganeshman Charnath Municipality,17
175,Dhanushadham Municipality,17
176,Mithila Municipality,17
177,Bateshwor Rural Municipality,17
178,Chhireshwornath Municipality,17
179,Laxminiya Rural Municipality,17
180,Mithila Bihari Municipality,17
181,Hansapur Municipality,17
182,Sabaila Municipality,17
183,Shahidnagar Municipality,17
184,Kamala Municipality,17
185,Janak Nandini Rural Municipality,17
186,Bideha Municipality,17
187,Aurahi Rural Municipality,17
188,Janakpur Sub-Metropolitan City,17
189,Dhanauji Rural Municipality,17
190,Nagarain Municipality,17
191,Mukhiyapatti Musaharmiya Rural Municipality,17
192,MAHOTTARI,18
193,Bardibas Municipality,18
194,Gaushala Municipality,18
195,Sonama Rural Municipality,18
196,Aurahi Municipality,18
197,Bhangaha Municipality,18
198,Loharpatti Municipality,18
199,Balawa Municipality,18
200,Ram Gopalpur Municipality,18
201,Samsi Rural Municipality,18
202,Manara Shisawa Municipality,18
203,Ekadara Rural Municipality,18
204,Mahottari Rural Municipality,18
205,Pipara Rural Municipality,18
206,Matihani Municipality,18
207,Jaleshwor Municipality,18
208,Lalbandi Municipality,19
209,Hariwan Municipality,19
210,Bagmati Municipality,19
211,Barahathawa Municipality,19
212,Haripur Municipality,19
213,Ishworpur Municipality,19
214,Haripurwa Municipality,19
215,Parsa Rural Municipality,19
216,Brahmapuri Rural Municipality,19
217,Chandranagar Rural Municipality,19
218,Kabilashi Municipality,19
219,Chakraghatta Rural Municipality,19
220,Basbariya Rural Municipality,19
221,Dhanakaul Rural Municipality,19
222,Ramnagar Rural Municipality,19
223,Balara Municipality,19
224,Godaita Municipality,19
225,Bishnu Rural Municipality,19
226,Kaudena Rural Municipality,19
227,Malangawa Municipality,19
228,Chandrapur Municipality,20
229,Gujara Municipality,20
230,Phatuwa Bijayapur Municipality,20
231,Katahariya Municipality,20
232,Brindaban Municipality,20
233,Gadhimai Municipality,20
234,Madhav Narayan Municipality,20
235,Garuda Municipality,20
236,Dewahi Gonahi Municipality,20
237,Maulapur Municipality,20
238,Boudhimai Municipality,20
239,Paroha Municipality,20
240,Rajpur Municipality,20
241,Yamunamai Rural Municipality,20
242,Durga Bhagawati Rural Municipality,20
243,Rajdevi Municipality,20
244,Gaur Municipality,20
245,Ishanath Municipality,20
246,Nijagadh Municipality,21
247,Kolhabi Municipality,21
248,Jitpur Simara Sub-Metropolitan City,21
249,Parawanipur Rural Municipality,21
250,Prasauni Rural Municipality,21
251,Bishrampur Rural Municipality,21
252,Pheta Rural Municipality,21
253,Kalaiya Sub-Metropolitan City,21
254,Karaiyamai Rural Municipality,21
255,Baragadhi Rural Municipality,21
256,Aadarsha Kotwal Rural Municipality,21
257,Simroungadh Municipality,21
258,Pacharauta Municipality,21
259,Mahagadhimai Municipality,21
260,Devtal Rural Municipality,21
261,Subarna Rural Municipality,21
262,Thori Rural Municipality,22
263,Jirabhawani Rural Municipality,22
264,Jagarnathpur Rural Municipality,22
265,Paterwa Sugauli Rural Municipality,22
266,Sakhuwa Prasauni Rural Municipality,22
267,Parsagadhi Municipality,22
268,Birgunj Metropolitan City,22
269,Bahudarmai Municipality,22
270,Pokhariya Municipality,22
271,Kalikamai Rural Municipality,22
272,Dhobini Rural Municipality,22
273,Chhipaharmai Rural Municipality,22
274,Pakaha Mainpur Rural Municipality,22
275,Bindabasini Rural Municipality,22
276,Gaurishankar Rural Municipality,23
277,Bigu Rural Municipality,23
278,Kalinchowk Rural Municipality,23
279,Baitedhar Rural Municipality,23
280,Jiri Municipality,23
281,Tamakoshi Rural Municipality,23
282,Melung Rural Municipality,23
283,Shailung Rural Municipality,23
284,Bhimeshwor Municipality,23
285,Bhotekoshi Rural Municipality,24
286,Jugal Rural Municipality,24
287,Panchpokhari Thangpal Rural Municipality,24
288,Helambu Rural Municipality,24
289,Melanchi Municipality,24
290,Indrawoti Rural Municipality,24
291,Choutara Sangachowkgadhi Municipality,24
292,Balephi Rural Municipality,24
293,Bahrabise Municipality,24
294,Tripurasundari Rural Municipality,24
295,Lisankhu Pakhar Rural Municipality,24
296,Sunkoshi Rural Municipality,24
297,Gosaikunda Rural Municipality,25
298,Parbatikunda Rural Municipality,25
299,Uttargaya Rural Municipality,25
300,Kalika Rural Municipality,25
301,Naukunda Rural Municipality,25
302,Rubi Valley Rural Municipality,26
303,Khaniyabas Rural Municipality,26
304,Ganga Jamuna Rural Municipality,26
305,Tripurasundari Rural Municipality,26
306,Netrawati Rural Municipality,26
307,Nilkhantha Municipality,26
308,Jwalamukhi Rural Municipality,26
309,Siddhalek Rural Municipality,26
310,Benighat Rorang Rural Municipality,26
311,Gajuri Rural Municipality,26
312,Galchhi Rural Municipality,26
313,Thakre Rural Municipality,26
314,Dhunibenshi Municipality,26
315,Dupcheshwor Rural Municipality,27
316,Tadi Rural Municipality,27
317,Suryagadhi Rural Municipality,27
318,Bidur Municipality,27
319,Kispang Rural Municipality,27
320,Meghang Rural Municipality,27
321,Tarakeshwor Rural Municipality,27
322,Belkotgadhi Municipality,27
323,Likhu Rural Municipality,27
324,Panchakanya Rural Municipality,27
325,Shivapuri Rural Municipality,27
326,Kakani Rural Municipality,27
327,Shankharapur Municipality,28
328,Kageshwori Manahara Municipality,28
329,Gokarneshwor Municipality,28
330,Budhanilkhantha Municipality,28
331,Tokha Municipality,28
332,Tarakeshwor Municipality,28
333,Nagarjun Municipality,28
334,Kathmandu Metropolitan City,28
335,Kirtipur Municipality,28
336,Chandragiri Municipality,28
337,Dakshinkali Municipality,28
338,Changunarayan Municipality,29
339,Bhaktapur Municipality,29
340,Madhyapur Thimi Municipality,29
341,Suryabinayak Municipality,29
342,Mahalaxmi Municipality,30
